Manin00g000010.1	IPR036610	PEBP-like superfamily
Manin00g000240.2	IPR005135	Endonuclease/exonuclease/phosphatase
Manin00g000240.2	IPR036691	Endonuclease/exonuclease/phosphatase superfamily
Manin00g000240.3	IPR005135	Endonuclease/exonuclease/phosphatase
Manin00g000240.3	IPR036691	Endonuclease/exonuclease/phosphatase superfamily
Manin00g000250.1	IPR001147	Ribosomal protein L21e
Manin00g000250.1	IPR008991	Translation protein SH3-like domain superfamily
Manin00g000260.1	IPR004265	Dirigent protein
Manin00g000270.1	IPR004265	Dirigent protein
Manin00g000290.1	IPR013087	Zinc finger C2H2-type
Manin00g000290.1	IPR036236	Zinc finger C2H2 superfamily
Manin00g000300.1	IPR009755	Regulator of MON1-CCZ1 complex, C-terminal
Manin00g000300.1	IPR036322	WD40-repeat-containing domain superfamily
Manin00g000300.3	IPR009755	Regulator of MON1-CCZ1 complex, C-terminal
Manin00g000300.3	IPR036322	WD40-repeat-containing domain superfamily
Manin00g000310.1	IPR001752	Kinesin motor domain
Manin00g000310.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin00g000320.1	IPR010655	Pre-mRNA cleavage complex subunit Clp1, C-terminal
Manin00g000320.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin00g000320.1	IPR032319	Polyribonucleotide 5'-hydroxyl-kinase Clp1, P-loop domain
Manin00g000320.1	IPR032324	Clp1, N-terminal beta-sandwich domain
Manin00g000330.1	IPR027469	Cation efflux transmembrane domain superfamily
Manin00g000330.1	IPR036837	Cation efflux protein, cytoplasmic domain superfamily
Manin00g000340.1	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase
Manin00g000360.1	IPR000719	Protein kinase domain
Manin00g000360.1	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
Manin00g000360.1	IPR011009	Protein kinase-like domain superfamily
Manin00g000370.1	IPR001841	Zinc finger, RING-type
Manin00g000370.1	IPR013010	Zinc finger, SIAH-type
Manin00g000370.1	IPR018121	Seven-in-absentia protein, TRAF-like domain
Manin00g000370.2	IPR001841	Zinc finger, RING-type
Manin00g000370.2	IPR013010	Zinc finger, SIAH-type
Manin00g000370.2	IPR018121	Seven-in-absentia protein, TRAF-like domain
Manin00g000370.3	IPR001841	Zinc finger, RING-type
Manin00g000370.3	IPR013010	Zinc finger, SIAH-type
Manin00g000370.3	IPR018121	Seven-in-absentia protein, TRAF-like domain
Manin00g000380.1	IPR040457	Gamma tubulin complex component, C-terminal
Manin00g000380.1	IPR041470	Gamma tubulin complex component protein, N-terminal
Manin00g000380.2	IPR040457	Gamma tubulin complex component, C-terminal
Manin00g000380.2	IPR041470	Gamma tubulin complex component protein, N-terminal
Manin00g000380.3	IPR040457	Gamma tubulin complex component, C-terminal
Manin00g000380.3	IPR041470	Gamma tubulin complex component protein, N-terminal
Manin00g000400.1	IPR013538	Activator of Hsp90 ATPase homologue 1-like
Manin00g000400.1	IPR015310	Activator of Hsp90 ATPase, N-terminal
Manin00g000400.1	IPR036338	Activator of Hsp90 ATPase, Aha1
Manin00g000410.1	IPR025846	Trichome birefringence-like, N-terminal domain
Manin00g000410.1	IPR026057	PC-Esterase
Manin00g000420.1	IPR001356	Homeobox domain
Manin00g000420.1	IPR003106	Leucine zipper, homeobox-associated
Manin00g000420.1	IPR006712	HD-ZIP protein, N-terminal
Manin00g000420.1	IPR009057	Homeobox-like domain superfamily
Manin00g000430.1	IPR001841	Zinc finger, RING-type
Manin00g000440.1	IPR014977	WRC domain
Manin00g000450.1	IPR000719	Protein kinase domain
Manin00g000450.1	IPR001220	Legume lectin domain
Manin00g000450.1	IPR011009	Protein kinase-like domain superfamily
Manin00g000450.1	IPR013320	Concanavalin A-like lectin/glucanase domain superfamily
Manin00g000460.1	IPR002524	Cation efflux protein
Manin00g000460.1	IPR027469	Cation efflux transmembrane domain superfamily
Manin00g000470.1	IPR000086	NUDIX hydrolase domain
Manin00g000470.1	IPR015797	NUDIX hydrolase-like domain superfamily
Manin00g000470.1	IPR029401	Nudix hydrolase, N-terminal
Manin00g000470.2	IPR000086	NUDIX hydrolase domain
Manin00g000470.2	IPR015797	NUDIX hydrolase-like domain superfamily
Manin00g000470.2	IPR029401	Nudix hydrolase, N-terminal
Manin00g000490.1	IPR004000	Actin family
Manin00g000490.1	IPR043129	ATPase, nucleotide binding domain
Manin00g000500.1	IPR001932	PPM-type phosphatase domain
Manin00g000500.1	IPR036457	PPM-type phosphatase domain superfamily
Manin00g000520.1	IPR007185	DNA polymerase alpha/delta/epsilon, subunit B
Manin00g000520.1	IPR040663	DNA polymerase delta subunit, OB-fold domain
Manin00g000520.2	IPR007185	DNA polymerase alpha/delta/epsilon, subunit B
Manin00g000520.2	IPR040663	DNA polymerase delta subunit, OB-fold domain
Manin00g000530.1	IPR006843	Plastid lipid-associated protein/fibrillin conserved domain
Manin00g000530.2	IPR006843	Plastid lipid-associated protein/fibrillin conserved domain
Manin00g000540.1	IPR005804	Fatty acid desaturase domain
Manin00g000540.1	IPR021863	Fatty acid desaturase, N-terminal
Manin00g000550.1	IPR005513	Late embryogenesis abundant protein, LEA_1 subgroup
Manin00g000560.1	IPR005513	Late embryogenesis abundant protein, LEA_1 subgroup
Manin00g000570.1	IPR005513	Late embryogenesis abundant protein, LEA_1 subgroup
Manin00g000580.1	IPR000571	Zinc finger, CCCH-type
Manin00g000580.1	IPR004088	K Homology domain, type 1
Manin00g000580.1	IPR036612	K Homology domain, type 1 superfamily
Manin00g000580.1	IPR036855	Zinc finger, CCCH-type superfamily
Manin00g000590.1	IPR036291	NAD(P)-binding domain superfamily
Manin00g000590.2	IPR036291	NAD(P)-binding domain superfamily
Manin00g000600.1	IPR000330	SNF2, N-terminal
Manin00g000600.1	IPR001005	SANT/Myb domain
Manin00g000600.1	IPR001650	Helicase, C-terminal
Manin00g000600.1	IPR009057	Homeobox-like domain superfamily
Manin00g000600.1	IPR014001	Helicase superfamily 1/2, ATP-binding domain
Manin00g000600.1	IPR014012	Helicase/SANT-associated domain
Manin00g000600.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin00g000620.1	IPR005491	ENT domain
Manin00g000620.1	IPR036142	ENT domain-like superfamily
Manin00g000630.1	IPR008480	Protein of unknown function DUF761, plant
Manin00g000640.1	IPR006447	Myb domain, plants
Manin00g000640.1	IPR009057	Homeobox-like domain superfamily
Manin00g000640.1	IPR017930	Myb domain
Manin00g000640.1	IPR025756	MYB-CC type transcription factor, LHEQLE-containing domain
Manin00g000650.1	IPR000504	RNA recognition motif domain
Manin00g000650.1	IPR035979	RNA-binding domain superfamily
Manin00g000670.1	IPR004333	SBP domain
Manin00g000670.1	IPR036893	SBP domain superfamily
Manin00g000680.1	IPR000719	Protein kinase domain
Manin00g000680.1	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
Manin00g000680.1	IPR001611	Leucine-rich repeat
Manin00g000680.1	IPR011009	Protein kinase-like domain superfamily
Manin00g000680.1	IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
Manin00g000690.1	IPR008491	CDK5 regulatory subunit-associated protein 3
Manin00g000700.1	IPR001763	Rhodanese-like domain
Manin00g000700.1	IPR002110	Ankyrin repeat
Manin00g000700.1	IPR004853	Sugar phosphate transporter domain
Manin00g000700.1	IPR036770	Ankyrin repeat-containing domain superfamily
Manin00g000700.1	IPR036873	Rhodanese-like domain superfamily
Manin00g000700.1	IPR041243	STI1 domain
Manin00g000710.1	IPR016024	Armadillo-type fold
Manin00g000710.1	IPR027007	C2 DOCK-type domain
Manin00g000710.1	IPR027357	DOCKER domain
Manin00g000710.2	IPR016024	Armadillo-type fold
Manin00g000710.2	IPR027007	C2 DOCK-type domain
Manin00g000710.2	IPR027357	DOCKER domain
Manin00g000720.1	IPR021109	Aspartic peptidase domain superfamily
Manin00g000720.1	IPR032799	Xylanase inhibitor, C-terminal
Manin00g000720.1	IPR032861	Xylanase inhibitor, N-terminal
Manin00g000720.1	IPR033121	Peptidase family A1 domain
Manin00g000730.1	IPR001260	Coproporphyrinogen III oxidase, aerobic
Manin00g000730.1	IPR036406	Oxygen-dependent coproporphyrinogen III oxidase superfamily
Manin00g000760.1	IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
Manin00g000770.1	IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
Manin00g000790.1	IPR012946	X8 domain
Manin00g000800.1	IPR000426	Proteasome alpha-subunit, N-terminal domain
Manin00g000800.1	IPR001353	Proteasome, subunit alpha/beta
Manin00g000800.1	IPR023332	Proteasome alpha-type subunit
Manin00g000800.1	IPR029055	Nucleophile aminohydrolases, N-terminal
Manin00g000810.1	IPR001611	Leucine-rich repeat
Manin00g000810.1	IPR013210	Leucine-rich repeat-containing N-terminal, plant-type
Manin00g000820.1	IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
Manin00g000830.1	IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
Manin00g000840.1	IPR002885	Pentatricopeptide repeat
Manin00g000850.1	IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
Manin00g000860.1	IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
Manin00g000870.1	IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
Manin00g000880.1	IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
Manin00g000890.1	IPR003689	Zinc/iron permease
Manin00g000890.1	IPR004698	Zinc/iron permease, fungal/plant
Manin00g000900.1	IPR004821	Cytidyltransferase-like domain
Manin00g000910.1	IPR000070	Pectinesterase, catalytic
Manin00g000910.1	IPR011050	Pectin lyase fold/virulence factor
Manin00g000920.1	IPR008889	VQ
Manin00g000930.1	IPR004330	FAR1 DNA binding domain
Manin00g000930.1	IPR007527	Zinc finger, SWIM-type
Manin00g000930.1	IPR018289	MULE transposase domain
Manin00g000940.1	IPR004330	FAR1 DNA binding domain
Manin00g000940.1	IPR007527	Zinc finger, SWIM-type
Manin00g000950.1	IPR001594	Palmitoyltransferase, DHHC domain
Manin00g000950.1	IPR005814	Aminotransferase class-III
Manin00g000950.1	IPR015424	Pyridoxal phosphate-dependent transferase
Manin00g000980.1	IPR001141	Ribosomal protein L27e
Manin00g000980.1	IPR008991	Translation protein SH3-like domain superfamily
Manin00g000990.1	IPR028144	Cysteine-rich transmembrane CYSTM domain
Manin00g001000.1	IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
Manin00g001010.1	IPR003323	OTU domain
Manin00g001010.1	IPR038765	Papain-like cysteine peptidase superfamily
Manin00g001010.2	IPR003323	OTU domain
Manin00g001010.2	IPR038765	Papain-like cysteine peptidase superfamily
Manin00g001010.3	IPR003323	OTU domain
Manin00g001010.3	IPR038765	Papain-like cysteine peptidase superfamily
Manin00g001010.4	IPR003323	OTU domain
Manin00g001010.4	IPR038765	Papain-like cysteine peptidase superfamily
Manin00g001030.1	IPR013126	Heat shock protein 70 family
Manin00g001030.1	IPR029048	Heat shock protein 70kD, C-terminal domain superfamily
Manin00g001030.1	IPR043129	ATPase, nucleotide binding domain
Manin00g001040.1	IPR002885	Pentatricopeptide repeat
Manin00g001040.1	IPR011990	Tetratricopeptide-like helical domain superfamily
Manin00g001050.1	IPR005886	UDP-glucose 4-epimerase
Manin00g001050.1	IPR016040	NAD(P)-binding domain
Manin00g001050.1	IPR036291	NAD(P)-binding domain superfamily
Manin00g001050.2	IPR005886	UDP-glucose 4-epimerase
Manin00g001050.2	IPR016040	NAD(P)-binding domain
Manin00g001050.2	IPR036291	NAD(P)-binding domain superfamily
Manin00g001070.1	IPR012901	Carnosine N-methyltransferase
Manin00g001070.1	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase
Manin00g001080.1	IPR029448	Fanconi anaemia protein FANCD2
Manin00g001090.1	IPR001680	WD40 repeat
Manin00g001090.1	IPR022052	Histone-binding protein RBBP4, N-terminal
Manin00g001090.1	IPR036322	WD40-repeat-containing domain superfamily
Manin00g001130.1	IPR005123	Oxoglutarate/iron-dependent dioxygenase
Manin00g001130.1	IPR026992	Non-haem dioxygenase N-terminal domain
Manin00g001130.1	IPR044861	Isopenicillin N synthase-like, Fe(2+) 2OG dioxygenase domain
Manin00g001140.1	IPR001077	O-methyltransferase domain
Manin00g001140.1	IPR012967	Plant methyltransferase dimerisation
Manin00g001140.1	IPR016461	O-methyltransferase COMT-type
Manin00g001140.1	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase
Manin00g001140.1	IPR036390	Winged helix DNA-binding domain superfamily
Manin00g001160.1	IPR006121	Heavy metal-associated domain, HMA
Manin00g001160.1	IPR036163	Heavy metal-associated domain superfamily
Manin00g001170.1	IPR006121	Heavy metal-associated domain, HMA
Manin00g001170.1	IPR036163	Heavy metal-associated domain superfamily
Manin00g001180.1	IPR002933	Peptidase M20
Manin00g001180.1	IPR003441	NAC domain
Manin00g001180.1	IPR011650	Peptidase M20, dimerisation domain
Manin00g001180.1	IPR017439	Amidohydrolase
Manin00g001180.1	IPR036093	NAC domain superfamily
Manin00g001180.1	IPR036264	Bacterial exopeptidase dimerisation domain
Manin00g001190.1	IPR005135	Endonuclease/exonuclease/phosphatase
Manin00g001190.1	IPR011992	EF-hand domain pair
Manin00g001190.1	IPR036691	Endonuclease/exonuclease/phosphatase superfamily
Manin00g001200.1	IPR000620	EamA domain
Manin00g001210.1	IPR001107	Band 7 domain
Manin00g001210.1	IPR032435	Band 7, C-terminal extension
Manin00g001210.1	IPR036013	Band 7/SPFH domain superfamily
Manin00g001230.1	IPR010291	Ion channel regulatory protein, UNC-93
Manin00g001230.1	IPR036259	MFS transporter superfamily
Manin00g001240.1	IPR010291	Ion channel regulatory protein, UNC-93
Manin00g001240.1	IPR036259	MFS transporter superfamily
Manin00g001250.1	IPR000432	DNA mismatch repair protein MutS, C-terminal
Manin00g001250.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin00g001250.1	IPR036187	DNA mismatch repair protein MutS, core domain superfamily
Manin00g001260.1	IPR006747	Protein of unknown function DUF599
Manin00g001290.1	IPR001938	Thaumatin family
Manin00g001290.1	IPR037176	Osmotin/thaumatin-like superfamily
Manin00g001330.1	IPR012462	Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2
Manin00g001330.1	IPR018731	Autophagy-related protein 13, N-terminal
Manin00g001340.1	IPR019024	Ribonuclease H2 subunit B, wHTH domain
Manin00g001340.1	IPR041195	Rnh202, triple barrel domain
Manin00g001360.1	IPR003489	Ribosome hibernation promoting factor/RaiA
Manin00g001360.1	IPR025799	Protein arginine N-methyltransferase
Manin00g001360.1	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase
Manin00g001360.1	IPR032528	Sigma 54 modulation/S30EA ribosomal protein, C-terminal
Manin00g001360.1	IPR035075	PRMT5 arginine-N-methyltransferase
Manin00g001360.1	IPR035247	PRMT5, TIM barrel domain
Manin00g001360.1	IPR035248	PRMT5, oligomerisation domain
Manin00g001360.1	IPR036567	Ribosome hibernation promotion factor-like
Manin00g001370.1	IPR003690	Transcription termination factor, mitochondrial/chloroplastic
Manin00g001370.2	IPR003690	Transcription termination factor, mitochondrial/chloroplastic
Manin00g001390.1	IPR002913	START domain
Manin00g001410.1	IPR000504	RNA recognition motif domain
Manin00g001410.1	IPR035979	RNA-binding domain superfamily
Manin00g001420.1	IPR001680	WD40 repeat
Manin00g001420.1	IPR024761	Transcription factor IIIC, 90kDa subunit, N-terminal
Manin00g001420.1	IPR036322	WD40-repeat-containing domain superfamily
Manin00g001430.1	IPR000719	Protein kinase domain
Manin00g001430.1	IPR011009	Protein kinase-like domain superfamily
Manin00g001430.1	IPR011992	EF-hand domain pair
Manin00g001440.1	IPR003676	Small auxin-up RNA
Manin00g001450.1	IPR000504	RNA recognition motif domain
Manin00g001450.1	IPR009818	Ataxin-2, C-terminal
Manin00g001450.1	IPR035979	RNA-binding domain superfamily
Manin00g001460.1	IPR003676	Small auxin-up RNA
Manin00g001470.1	IPR002528	Multi antimicrobial extrusion protein
Manin00g001480.1	IPR000719	Protein kinase domain
Manin00g001480.1	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
Manin00g001480.1	IPR011009	Protein kinase-like domain superfamily
Manin00g001490.1	IPR020864	Membrane attack complex component/perforin (MACPF) domain
Manin00g001500.1	IPR016140	Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain
Manin00g001500.1	IPR036312	Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain superfamily
Manin00g001510.1	IPR003676	Small auxin-up RNA
Manin00g001520.1	IPR003676	Small auxin-up RNA
Manin00g001540.1	IPR000719	Protein kinase domain
Manin00g001540.1	IPR011009	Protein kinase-like domain superfamily
Manin00g001560.1	IPR006458	Ovate  protein family, C-terminal
Manin00g001560.1	IPR025830	DNA-binding domain, ovate family-like
Manin00g001570.1	IPR003613	U-box domain
Manin00g001570.1	IPR016024	Armadillo-type fold
Manin00g001580.1	IPR000719	Protein kinase domain
Manin00g001580.1	IPR004041	NAF domain
Manin00g001580.1	IPR011009	Protein kinase-like domain superfamily
Manin00g001580.1	IPR018451	NAF/FISL domain
Manin00g001590.1	IPR006043	Nucleobase cation symporter 2 family
Manin00g001610.1	IPR000719	Protein kinase domain
Manin00g001610.1	IPR004041	NAF domain
Manin00g001610.1	IPR007856	Saposin-like type B, region 1
Manin00g001610.1	IPR008138	Saposin B type, region 2
Manin00g001610.1	IPR008139	Saposin B type domain
Manin00g001610.1	IPR011001	Saposin-like
Manin00g001610.1	IPR011009	Protein kinase-like domain superfamily
Manin00g001610.1	IPR018451	NAF/FISL domain
Manin00g001620.1	IPR008545	WEB family
Manin00g001650.1	IPR000719	Protein kinase domain
Manin00g001650.1	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
Manin00g001650.1	IPR011009	Protein kinase-like domain superfamily
Manin00g001660.1	IPR004274	FCP1 homology domain
Manin00g001660.1	IPR014720	Double-stranded RNA-binding domain
Manin00g001660.1	IPR036412	HAD-like superfamily
Manin00g001670.1	IPR002016	Haem peroxidase
Manin00g001670.1	IPR010255	Haem peroxidase superfamily
Manin00g001680.1	IPR007652	Alpha 1,4-glycosyltransferase domain
Manin00g001680.1	IPR029044	Nucleotide-diphospho-sugar transferases
Manin00g001690.1	IPR002016	Haem peroxidase
Manin00g001690.1	IPR010255	Haem peroxidase superfamily
Manin00g001710.1	IPR006583	PAN-3 domain
Manin00g001710.1	IPR036426	Bulb-type lectin domain superfamily
Manin00g001720.1	IPR005814	Aminotransferase class-III
Manin00g001720.1	IPR015424	Pyridoxal phosphate-dependent transferase
Manin00g001730.1	IPR004152	GAT domain
Manin00g001740.1	IPR016024	Armadillo-type fold
Manin00g001740.1	IPR029347	Raptor, N-terminal CASPase-like domain
Manin00g001740.1	IPR036322	WD40-repeat-containing domain superfamily
Manin00g001750.1	IPR000757	Glycoside hydrolase family 16
Manin00g001750.1	IPR010713	Xyloglucan endo-transglycosylase, C-terminal
Manin00g001750.1	IPR013320	Concanavalin A-like lectin/glucanase domain superfamily
Manin00g001760.1	IPR001563	Peptidase S10, serine carboxypeptidase
Manin00g001760.1	IPR005024	Snf7 family
Manin00g001760.1	IPR019410	Lysine methyltransferase
Manin00g001760.1	IPR029058	Alpha/Beta hydrolase fold
Manin00g001760.1	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase
Manin00g001770.1	IPR000933	Glycoside hydrolase, family 29
Manin00g001770.1	IPR008979	Galactose-binding-like domain superfamily
Manin00g001770.1	IPR017853	Glycoside hydrolase superfamily
Manin00g001780.1	IPR001005	SANT/Myb domain
Manin00g001780.1	IPR009057	Homeobox-like domain superfamily
Manin00g001780.1	IPR017930	Myb domain
Manin00g001790.1	IPR006121	Heavy metal-associated domain, HMA
Manin00g001790.1	IPR036163	Heavy metal-associated domain superfamily
Manin00g001800.1	IPR003439	ABC transporter-like, ATP-binding domain
Manin00g001800.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin00g001800.1	IPR032781	ABC-transporter extension domain
Manin00g001810.1	IPR003676	Small auxin-up RNA
Manin00g001820.1	IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
Manin00g001830.1	IPR003439	ABC transporter-like, ATP-binding domain
Manin00g001830.1	IPR013525	ABC-2 type transporter
Manin00g001830.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin00g001830.2	IPR003439	ABC transporter-like, ATP-binding domain
Manin00g001830.2	IPR013525	ABC-2 type transporter
Manin00g001830.2	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin00g001840.1	IPR003338	CDC48, N-terminal subdomain
Manin00g001840.1	IPR003959	ATPase, AAA-type, core
Manin00g001840.1	IPR004201	CDC48, domain 2
Manin00g001840.1	IPR005938	AAA ATPase, CDC48 family
Manin00g001840.1	IPR009010	Aspartate decarboxylase-like domain superfamily
Manin00g001840.1	IPR015415	Vps4 oligomerisation, C-terminal
Manin00g001840.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin00g001840.1	IPR029067	CDC48 domain 2-like superfamily
Manin00g001840.1	IPR041569	AAA ATPase, AAA+ lid domain
Manin00g001850.1	IPR006828	Association with the SNF1 complex (ASC) domain
Manin00g001850.1	IPR037256	ASC domain superfamily
Manin00g001870.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin00g001870.2	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin00g001880.1	IPR006153	Cation/H+ exchanger
Manin00g001890.1	IPR001844	Chaperonin Cpn60/GroEL
Manin00g001890.1	IPR002423	Chaperonin Cpn60/GroEL/TCP-1 family
Manin00g001890.1	IPR027409	GroEL-like apical domain superfamily
Manin00g001890.1	IPR027410	TCP-1-like chaperonin intermediate domain superfamily
Manin00g001890.1	IPR027413	GroEL-like equatorial domain superfamily
Manin00g001900.1	IPR017887	Transcription factor TCP subgroup
Manin00g001910.1	IPR003323	OTU domain
Manin00g001910.1	IPR038765	Papain-like cysteine peptidase superfamily
Manin00g001920.1	IPR017887	Transcription factor TCP subgroup
Manin00g001930.1	IPR000719	Protein kinase domain
Manin00g001930.1	IPR003323	OTU domain
Manin00g001930.1	IPR011009	Protein kinase-like domain superfamily
Manin00g001930.1	IPR016300	Arsenical pump ATPase, ArsA/GET3
Manin00g001930.1	IPR025723	Anion-transporting ATPase-like domain
Manin00g001930.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin00g001930.1	IPR038765	Papain-like cysteine peptidase superfamily
Manin00g001940.1	IPR006909	Rad21/Rec8-like protein, C-terminal, eukaryotic
Manin00g001940.1	IPR006910	Rad21/Rec8-like protein, N-terminal
Manin00g001940.1	IPR036390	Winged helix DNA-binding domain superfamily
Manin00g001960.1	IPR002885	Pentatricopeptide repeat
Manin00g001960.1	IPR011990	Tetratricopeptide-like helical domain superfamily
Manin00g001970.1	IPR002495	Glycosyl transferase, family 8
Manin00g001970.1	IPR029044	Nucleotide-diphospho-sugar transferases
Manin00g001990.1	IPR001623	DnaJ domain
Manin00g001990.1	IPR036869	Chaperone J-domain superfamily
Manin00g002000.1	IPR001680	WD40 repeat
Manin00g002000.1	IPR032401	Enhancer of mRNA-decapping protein 4, WD40 repeat region
Manin00g002000.1	IPR036322	WD40-repeat-containing domain superfamily
Manin00g002010.1	IPR001806	Small GTPase
Manin00g002010.1	IPR005225	Small GTP-binding protein domain
Manin00g002010.1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Manin00g002020.1	IPR008811	Glycosyl hydrolases 36
Manin00g002020.1	IPR017853	Glycoside hydrolase superfamily
Manin00g002030.1	IPR000209	Peptidase S8/S53 domain
Manin00g002030.1	IPR003137	PA domain
Manin00g002030.1	IPR010259	Peptidase S8 propeptide/proteinase inhibitor I9
Manin00g002030.1	IPR036852	Peptidase S8/S53 domain superfamily
Manin00g002030.1	IPR041469	Subtilisin-like protease, fibronectin type-III domain
Manin00g002040.1	IPR006121	Heavy metal-associated domain, HMA
Manin00g002040.1	IPR036163	Heavy metal-associated domain superfamily
Manin00g002050.1	IPR000023	Phosphofructokinase domain
Manin00g002050.1	IPR035966	Phosphofructokinase superfamily
Manin00g002060.1	IPR000743	Glycoside hydrolase, family 28
Manin00g002060.1	IPR011050	Pectin lyase fold/virulence factor
Manin00g002070.1	IPR000743	Glycoside hydrolase, family 28
Manin00g002070.1	IPR011050	Pectin lyase fold/virulence factor
Manin00g002080.1	IPR002885	Pentatricopeptide repeat
Manin00g002090.1	IPR002885	Pentatricopeptide repeat
